country,year,region,gym_memberships,fitness_participation_rate,total_health_club_revenue_usd,number_of_gyms,gym_penetration_rate,urban_population_percentage,obesity_rate,gdp_per_capita_usd,population_total,average_membership_cost_usd,insufficient_physical_activity_pct,memberships_per_100k,gyms_per_100k,revenue_per_membership_usd,periodo,gym_memberships_norm,total_health_club_revenue_usd_norm,number_of_gyms_norm,gdp_per_capita_usd_norm,population_total_norm,average_membership_cost_usd_norm,memberships_per_100k_norm,gyms_per_100k_norm,revenue_per_membership_usd_norm
Angola,2000,Africa,95521.0,0.3873,5731259.0,204.0,0.0059,0.5051,0.047,563.7338,16194869.0,5.0,0.2219,589.8226160396852,1.2596582287883897,59.999989531097874,pre_covid,0.0009093649559232353,6.559362411038359e-05,0.0032299533986823075,0.0032987078711980517,0.01103783469147045,0.0,0.012043098887205096,0.03412841212738584,1.3334056250902497e-06
Angola,2001,Africa,103840.0,0.3939,6230372.0,222.0,0.0062,0.5172,0.0496,533.5862,16747208.0,5.0,0.2192,620.0436514552157,1.325594093057183,59.999730354391374,pre_covid,0.0009903000909219021,7.14751138729666e-05,0.0035192029567732604,0.003079726664042262,0.0114185601346835,0.0,0.013050691481965427,0.03645320442972095,1.0820322709071502e-06
Angola,2002,Africa,121093.0,0.4003,7265583.0,249.0,0.007,0.5289,0.0522,999.0659,17327699.0,5.0,0.2164,698.8406250593342,1.4370055712532863,60.00002477434699,pre_covid,0.001158153665165441,8.367392035288864e-05,0.00395307729390969,0.006460801993836836,0.011818690658249979,0.0,0.015677843265528544,0.040381393584051364,1.367587762297413e-06
Angola,2003,Africa,142783.0,0.4065,8566966.0,281.0,0.008,0.54,0.0548,1133.6633,17943712.0,5.0,0.2137,795.7272163084206,1.5660081927306904,59.99990194911159,pre_covid,0.001369174590531601,9.900926684095761e-05,0.004467298730515828,0.007438468578640623,0.012243306378758579,0.0,0.018908116832660617,0.044929818098047754,1.248460577535877e-06
Angola,2004,Africa,179615.0,0.4124,10776918.0,325.0,0.0097,0.5504,0.0574,1451.4712,18600423.0,5.0,0.211,965.650082258882,1.747272091607809,60.000100214347356,pre_covid,0.001727511276704326,0.00012505108515424508,0.005174353205849269,0.009746909634832377,0.012695975095865075,0.0,0.02457347604547406,0.051320891021319016,1.4407563976567018e-06
Angola,2005,Africa,239785.0,0.418,14387122.0,386.0,0.0124,0.56,0.0599,2145.8862,19291161.0,5.0,0.2083,1242.97858485552,2.0009163782314605,60.00009174885835,pre_covid,0.002312902197833042,0.00016759331079620643,0.006154587819379721,0.014790887761352824,0.013172098511365509,0.0,0.03381982189994942,0.060263979757823646,1.4325457895574839e-06
Angola,2006,Africa,302516.0,0.4233,18150969.0,447.0,0.0151,0.5689,0.0625,2930.4443,20015279.0,5.0,0.2056,1511.42534660646,2.2332938751440836,60.00002975049254,pre_covid,0.002923208959895955,0.00021194604774841722,0.007134822432910172,0.02048963259748747,0.013671230650302912,0.0,0.042770043674569234,0.06845723576575392,1.3724140849017452e-06
Angola,2007,Africa,357832.0,0.4285,21469922.0,504.0,0.0172,0.5776,0.0649,3515.0568,20778561.0,5.0,0.203,1722.1211805764603,2.4255770166182344,60.00000558921505,pre_covid,0.0034613755577546225,0.00025105620535199435,0.008050779366864855,0.024736045279371406,0.014197358404719208,0.0,0.049794805041478804,0.07523682942279021,1.3489802607540477e-06
Angola,2008,Africa,435685.0,0.4336,28336955.0,576.0,0.0202,0.5859,0.0674,4578.1553,21578655.0,5.42,0.2003,2019.0554045189563,2.66930445850309,65.04000596761422,pre_covid,0.004218803501624224,0.0003319765265794914,0.009207777599228667,0.03245800632620464,0.014748860548804817,0.00488826815642458,0.05969482074450174,0.08383026619722726,0.004889603859766469
Angola,2009,Africa,435395.0,0.4386,26332687.0,608.0,0.0194,0.5938,0.0697,3645.1485,22414773.0,5.04,0.1975,1942.4466176837927,2.7124967984284294,60.479994028410985,pre_covid,0.004215982106126013,0.0003083584646907553,0.009721999035834806,0.025680984097285562,0.015325193916769793,0.0004655493482309129,0.05714062479299521,0.08535315848796796,0.0004668858163415299
